disease_name,similar_diseases_count,known_drugs_count,overall_recommendations_count,similar_recommendations_count,metrics,success,error
clostridium difficile infection,0,2,10,0,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 2, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'clostridium difficile infection', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
precursor T-cell lymphoblastic leukemia-lymphoma,17,6,10,5,"{'overall_known_count': 6, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 6, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.16666666666666666, 'similar_f1_score': 0.1818181818181818, 'combined_known_count': 6, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.16666666666666666, 'combined_f1_score': 0.09523809523809522, 'disease_name': 'precursor T-cell lymphoblastic leukemia-lymphoma', 'known_drugs_count': 6, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 17}",True,
Metrorrhagia,1,5,10,5,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.4, 'overall_f1_score': 0.26666666666666666, 'similar_known_count': 5, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.4, 'similar_f1_score': 0.4000000000000001, 'combined_known_count': 5, 'combined_recs_count': 15, 'combined_overlap_count': 4, 'combined_precision': 0.26666666666666666, 'combined_recall': 0.8, 'combined_f1_score': 0.4, 'disease_name': 'Metrorrhagia', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 1}",True,
Epiphora,0,5,10,0,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.2, 'overall_f1_score': 0.13333333333333333, 'similar_known_count': 5, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 5, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.2, 'combined_f1_score': 0.13333333333333333, 'disease_name': 'Epiphora', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
advanced heart failure,0,1,10,0,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'advanced heart failure', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
open-angle glaucoma,6,27,10,0,"{'overall_known_count': 27, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.037037037037037035, 'overall_f1_score': 0.05405405405405406, 'similar_known_count': 27, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 27, 'combined_recs_count': 10, 'combined_overlap_count': 1, 'combined_precision': 0.1, 'combined_recall': 0.037037037037037035, 'combined_f1_score': 0.05405405405405406, 'disease_name': 'open-angle glaucoma', 'known_drugs_count': 27, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 6}",True,
myelodysplastic syndrome,6,190,10,5,"{'overall_known_count': 190, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.010526315789473684, 'overall_f1_score': 0.019999999999999997, 'similar_known_count': 190, 'similar_recs_count': 5, 'similar_overlap_count': 3, 'similar_precision': 0.6, 'similar_recall': 0.015789473684210527, 'similar_f1_score': 0.03076923076923077, 'combined_known_count': 190, 'combined_recs_count': 15, 'combined_overlap_count': 5, 'combined_precision': 0.3333333333333333, 'combined_recall': 0.02631578947368421, 'combined_f1_score': 0.048780487804878044, 'disease_name': 'myelodysplastic syndrome', 'known_drugs_count': 190, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 6}",True,
acute stress reaction,0,2,10,0,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 2, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 2, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'acute stress reaction', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
HIV wasting syndrome,1,5,10,5,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.4, 'overall_f1_score': 0.26666666666666666, 'similar_known_count': 5, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 5, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.4, 'combined_f1_score': 0.2, 'disease_name': 'HIV wasting syndrome', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 1}",True,
ear infection,6,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'ear infection', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 6}",True,
hemorrhage,1,77,10,5,"{'overall_known_count': 77, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 77, 'similar_recs_count': 5, 'similar_overlap_count': 3, 'similar_precision': 0.6, 'similar_recall': 0.03896103896103896, 'similar_f1_score': 0.07317073170731707, 'combined_known_count': 77, 'combined_recs_count': 15, 'combined_overlap_count': 3, 'combined_precision': 0.2, 'combined_recall': 0.03896103896103896, 'combined_f1_score': 0.06521739130434782, 'disease_name': 'hemorrhage', 'known_drugs_count': 77, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 1}",True,
acute erythroleukemia,28,14,10,5,"{'overall_known_count': 14, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 14, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.14285714285714285, 'similar_f1_score': 0.21052631578947364, 'combined_known_count': 14, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.14285714285714285, 'combined_f1_score': 0.1379310344827586, 'disease_name': 'acute erythroleukemia', 'known_drugs_count': 14, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 28}",True,
Dysmenorrhea,0,29,10,0,"{'overall_known_count': 29, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 29, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 29, 'combined_recs_count': 10, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'Dysmenorrhea', 'known_drugs_count': 29, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
familial lipoprotein lipase deficiency,34,5,10,5,"{'overall_known_count': 5, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.2, 'overall_f1_score': 0.13333333333333333, 'similar_known_count': 5, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 5, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.2, 'combined_f1_score': 0.1, 'disease_name': 'familial lipoprotein lipase deficiency', 'known_drugs_count': 5, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 34}",True,
Niemann-Pick disease,9,1,10,4,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 4, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 14, 'combined_overlap_count': 1, 'combined_precision': 0.07142857142857142, 'combined_recall': 1.0, 'combined_f1_score': 0.13333333333333333, 'disease_name': 'Niemann-Pick disease', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 4, 'similar_diseases_count': 9}",True,
otitis media with effusion,12,4,10,5,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.25, 'overall_f1_score': 0.14285714285714288, 'similar_known_count': 4, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 4, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.25, 'combined_f1_score': 0.10526315789473685, 'disease_name': 'otitis media with effusion', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 12}",True,
generalized lipodystrophy,21,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'generalized lipodystrophy', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 21}",True,
Premature rupture of membranes,2,1,10,3,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 3, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 13, 'combined_overlap_count': 1, 'combined_precision': 0.07692307692307693, 'combined_recall': 1.0, 'combined_f1_score': 0.14285714285714288, 'disease_name': 'Premature rupture of membranes', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 3, 'similar_diseases_count': 2}",True,
hereditary angioedema,3,13,10,0,"{'overall_known_count': 13, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.15384615384615385, 'overall_f1_score': 0.17391304347826086, 'similar_known_count': 13, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 13, 'combined_recs_count': 10, 'combined_overlap_count': 2, 'combined_precision': 0.2, 'combined_recall': 0.15384615384615385, 'combined_f1_score': 0.17391304347826086, 'disease_name': 'hereditary angioedema', 'known_drugs_count': 13, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 3}",True,
carcinoid heart disease,0,2,10,0,"{'overall_known_count': 2, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 1.0, 'overall_f1_score': 0.33333333333333337, 'similar_known_count': 2, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 2, 'combined_recs_count': 10, 'combined_overlap_count': 2, 'combined_precision': 0.2, 'combined_recall': 1.0, 'combined_f1_score': 0.33333333333333337, 'disease_name': 'carcinoid heart disease', 'known_drugs_count': 2, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
ovarian leiomyosarcoma,34,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'ovarian leiomyosarcoma', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 34}",True,
skin neoplasm,29,11,10,5,"{'overall_known_count': 11, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 11, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 0.09090909090909091, 'similar_f1_score': 0.12500000000000003, 'combined_known_count': 11, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.09090909090909091, 'combined_f1_score': 0.07692307692307691, 'disease_name': 'skin neoplasm', 'known_drugs_count': 11, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 29}",True,
reactive arthritis,0,4,10,0,"{'overall_known_count': 4, 'overall_recs_count': 10, 'overall_overlap_count': 2, 'overall_precision': 0.2, 'overall_recall': 0.5, 'overall_f1_score': 0.28571428571428575, 'similar_known_count': 4, 'similar_recs_count': 0, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 4, 'combined_recs_count': 10, 'combined_overlap_count': 2, 'combined_precision': 0.2, 'combined_recall': 0.5, 'combined_f1_score': 0.28571428571428575, 'disease_name': 'reactive arthritis', 'known_drugs_count': 4, 'overall_recommendations_count': 10, 'similar_recommendations_count': 0, 'similar_diseases_count': 0}",True,
calcinosis,2,1,10,2,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 1.0, 'overall_f1_score': 0.18181818181818182, 'similar_known_count': 1, 'similar_recs_count': 2, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 1, 'combined_recs_count': 12, 'combined_overlap_count': 1, 'combined_precision': 0.08333333333333333, 'combined_recall': 1.0, 'combined_f1_score': 0.15384615384615385, 'disease_name': 'calcinosis', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 2, 'similar_diseases_count': 2}",True,
glaucoma,9,63,10,5,"{'overall_known_count': 63, 'overall_recs_count': 10, 'overall_overlap_count': 3, 'overall_precision': 0.3, 'overall_recall': 0.047619047619047616, 'overall_f1_score': 0.0821917808219178, 'similar_known_count': 63, 'similar_recs_count': 5, 'similar_overlap_count': 4, 'similar_precision': 0.8, 'similar_recall': 0.06349206349206349, 'similar_f1_score': 0.11764705882352941, 'combined_known_count': 63, 'combined_recs_count': 15, 'combined_overlap_count': 7, 'combined_precision': 0.4666666666666667, 'combined_recall': 0.1111111111111111, 'combined_f1_score': 0.1794871794871795, 'disease_name': 'glaucoma', 'known_drugs_count': 63, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 9}",True,
pharyngeal squamous cell carcinoma,40,1,10,5,"{'overall_known_count': 1, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 1, 'similar_recs_count': 5, 'similar_overlap_count': 1, 'similar_precision': 0.2, 'similar_recall': 1.0, 'similar_f1_score': 0.33333333333333337, 'combined_known_count': 1, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 1.0, 'combined_f1_score': 0.125, 'disease_name': 'pharyngeal squamous cell carcinoma', 'known_drugs_count': 1, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 40}",True,
ulcer disease,5,13,10,5,"{'overall_known_count': 13, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 13, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 13, 'combined_recs_count': 15, 'combined_overlap_count': 0, 'combined_precision': 0.0, 'combined_recall': 0.0, 'combined_f1_score': 0.0, 'disease_name': 'ulcer disease', 'known_drugs_count': 13, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 5}",True,
acquired hemophilia,9,3,10,5,"{'overall_known_count': 3, 'overall_recs_count': 10, 'overall_overlap_count': 0, 'overall_precision': 0.0, 'overall_recall': 0.0, 'overall_f1_score': 0.0, 'similar_known_count': 3, 'similar_recs_count': 5, 'similar_overlap_count': 2, 'similar_precision': 0.4, 'similar_recall': 0.6666666666666666, 'similar_f1_score': 0.5, 'combined_known_count': 3, 'combined_recs_count': 15, 'combined_overlap_count': 2, 'combined_precision': 0.13333333333333333, 'combined_recall': 0.6666666666666666, 'combined_f1_score': 0.2222222222222222, 'disease_name': 'acquired hemophilia', 'known_drugs_count': 3, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 9}",True,
cocaine use disorder,2,23,10,5,"{'overall_known_count': 23, 'overall_recs_count': 10, 'overall_overlap_count': 1, 'overall_precision': 0.1, 'overall_recall': 0.043478260869565216, 'overall_f1_score': 0.06060606060606061, 'similar_known_count': 23, 'similar_recs_count': 5, 'similar_overlap_count': 0, 'similar_precision': 0.0, 'similar_recall': 0.0, 'similar_f1_score': 0.0, 'combined_known_count': 23, 'combined_recs_count': 15, 'combined_overlap_count': 1, 'combined_precision': 0.06666666666666667, 'combined_recall': 0.043478260869565216, 'combined_f1_score': 0.052631578947368425, 'disease_name': 'cocaine use disorder', 'known_drugs_count': 23, 'overall_recommendations_count': 10, 'similar_recommendations_count': 5, 'similar_diseases_count': 2}",True,
